順位,名前,動画,レス,pixiv,検索,得点
1,野獣先輩,4246,3730,1939,406000,10321
2,ひで(淫夢),781,1801,264,371000,3217
3,TDN,1058,941,820,243000,3062
4,KBTIT,734,1468,589,201000,2992
5,淫夢くん,1026,956,543,195000,2720
6,虐待おじさん,841,1026,259,106000,2232
7,MUR,795,681,343,163000,1982
8,KMR,657,579,183,115000,1534
9,GO(淫夢),303,593,276,263000,1435
10,変態糞親父,304,790,111,116000,1321
11,淫乱テディベア,538,224,87,312000,1161
12,遠野(淫夢),444,445,130,139000,1158
13,ドラゴン田中,418,512,81,103000,1114
14,DB(淫夢),244,162,282,243000,931
15,ONDISK,213,633,16,39000,901
16,TNOK,364,255,157,66300,842
17,ピンキー姉貴,281,311,130,96700,819
18,現場監督,244,452,23,52300,771
19,KYN,250,361,83,29000,723
20,SNJ,341,231,108,31500,712
21,課長こわれる,236,379,39,42100,696
22,HTN,191,348,79,59400,677
23,TRSM,16,649,0,9580,675
24,ヒゲクマ調教師,138,428,47,29000,642
25,AKYS,180,347,46,42000,615
26,関西クレーマー,97,448,23,45500,614
27,YOU_THE_ROCK★,208,322,15,28300,573
28,平野源五郎,133,309,82,30600,555
29,KBSトリオ,168,300,24,45200,537
30,西寺郷太,331,88,49,44500,513
31,中野くん(淫夢),90,260,40,111000,501
32,じゅんぺい,107,329,3,16900,456
33,SGCN(淫夢),73,343,2,4130,422
34,たると(淫夢),16,346,5,45900,413
35,北浦京子,44,273,13,7670,338
36,セミ兄貴,133,168,21,13900,336
37,AOK,79,224,12,11700,327
38,山崎まさゆき,111,180,10,12400,313
39,うま味紳士,71,118,92,29600,311
40,関西チャラ男,71,139,24,31500,266
41,超人サイバーZ,86,116,47,11700,261
42,剛竜馬,121,107,16,11500,256
43,一般通過爺,75,129,21,25900,251
44,まひろ(淫夢),50,152,2,34100,238
45,我修院(淫夢),53,154,8,15500,231
46,バットマン(淫夢),34,126,8,54000,222
47,野獣父,98,105,8,8950,220
48,クチマン爺,21,137,16,35700,210
49,HND△,82,93,6,19700,201
50,SGW,98,43,36,23500,201
51,軍畑先輩,46,119,18,16300,199
52,ポイテーロ,42,119,20,18200,199
53,POPO,49,122,2,16600,190
54,TKGW,46,119,4,13100,182
55,ラブオイル校長,67,103,1,9880,181
56,ホモコップ,113,34,17,11300,175
57,NSOK,73,67,16,12000,168
58,タカダキミヒコ,44,97,13,9660,164
59,TKNUC,60,70,14,12100,156
60,AZにゃん,56,79,8,10100,153
61,EMT(淫夢),64,67,5,12800,149
62,白いの(淫夢),34,72,5,33500,145
63,NRK,42,92,2,7520,144
64,OGRSYN,33,100,4,3790,141
65,観葉植物くん,23,70,31,12800,137
66,一転攻勢(シャブラサレータ),38,83,4,4290,129
67,ポルターガイストくん,31,89,1,6860,128
68,MYN,53,63,6,5700,128
69,ホリ・トオル,54,47,11,14200,126
70,TRN,41,68,8,5610,123
71,関東チャラ男,37,62,1,17500,118
72,金泰均(COAT),29,66,14,6640,116
73,マジメ君,30,70,5,9620,115
74,OGMM,24,81,1,3160,109
75,DRVS,51,35,10,11500,108
76,植木鉢くん,54,34,5,12600,106
77,ひでのオリキャラ,18,44,31,10800,104
78,まさよしくん,17,70,1,11600,100
79,MNR,26,57,10,3890,97
80,ITI,37,50,1,7560,96
81,MMR部長,21,38,17,16600,93
82,野獣母,23,64,0,3540,91
83,敏感ふとまら君,15,33,1,40200,89
84,INUE君,25,45,10,6770,87
85,マスクド永谷園,28,47,2,6040,83
86,KBTIT_Jr,15,41,0,24800,81
87,NT(ニッタ),12,55,3,5910,76
88,テロップくん,50,21,0,3630,75
89,野獣姉,5,61,0,4430,70
90,ECZN,28,30,6,4230,68
91,GTさん,11,32,3,21300,67
92,イカせ隊,35,27,0,4840,67
93,KEN(淫夢),14,31,6,15800,67
94,MRKM,22,35,2,6870,66
95,野獣兄,22,39,0,2730,64
96,イニ義893,12,31,5,14500,63
97,椅子くん,42,18,0,1990,62
98,ケツデカ課長,18,32,1,9730,61
99,ホモの兄ちゃん,7,37,1,15200,60
100,IWS,10,47,0,3160,60
101,浣腸芸人,,,,,55
102,アクメルくん,,,,,54
103,変態郵便屋,,,,,53
104,KN(淫夢),,,,,51
105,しゃがれ声,,,,,49
106,つとむ,,,,,49
107,ゴーグル男,,,,,48
108,野獣弟,,,,,43
109,バレーボールくん,,,,,36
110,いまきた加藤,,,,,34
111,TMNG,,,,,28
112,熊太郎,,,,,27
113,SNJ弟,,,,,22
114,爆弾岩くん,,,,,22
115,SUT(淫夢),,,,,15
116,TKY(淫夢),,,,,14
117,蟲戦士ヘルワーム,,,,,14
118,こう(淫夢),,,,,7
119,たるとのオリキャラ,,,,,6
120,モザイク姉貴,,,,,3
