順位,名前,動画,レス,pixiv,検索,前回,得点
1,野獣先輩,7069,4112,2603,564000,1,12292
2,KBTIT,1108,2574,760,452000,4,3607
3,変態糞親父,1895,2114,111,139000,10,3202
4,ひで(淫夢),928,3018,339,329000,2,3105
5,淫夢くん,1178,1292,629,101000,5,2554
6,MUR,1103,977,466,136000,7,2194
7,TDN,1107,1227,238,196000,3,2155
8,虐待おじさん,978,1202,278,137000,6,1994
9,ゆうさく,1433,697,70,119000,,1971
10,西寺郷太,726,2271,23,156000,30,1900
11,KMR,666,733,352,80700,8,11465
12,GO(淫夢),338,736,283,374000,9,1363
13,遠野(淫夢),524,682,182,136000,12,1183
14,現場監督,476,1079,57,36000,18,1109
15,うんち提案おじさん,124,1777,47,25600,,1085
16,ONDISK,287,1098,18,165000,15,1019
17,SNJ,638,398,121,20700,20,979
18,TNOK,347,555,269,50200,16,944
19,ドラゴン田中,431,603,85,47500,13,865
20,関西クレーマー,341,729,50,32200,26,788
21,ピンキー姉貴,323,466,155,65600,17,777
22,淫乱テディベア,469,277,97,68000,11,773
23,平野源五郎,285,597,105,77100,28,766
24,マジメ君,524,349,9,24000,73,732
25,課長(課長こわれる),367,564,64,17400,21,730
26,YOU_THE_ROCK★,381,431,15,89000,27,701
27,KYN,307,434,84,18100,19,626
28,DB(淫夢),77,203,262,180000,14,621
29,ガバ穴ダディー,331,401,22,20500,,574
30,AKYS,212,498,37,31100,25,529
31,HTN,213,392,73,38200,22,520
32,じゅんぺい,145,638,6,48100,32,518
33,ヒゲクマ調教師,158,501,46,12900,24,467
34,KBSトリオ,192,350,79,15500,29,462
35,TRSM,5,798,0,9180,23,413
36,中野くん(淫夢),68,312,64,19400,31,307
37,セミ兄貴,140,207,20,18300,36,282
38,剛竜馬,152,148,18,37600,42,282
39,たると(淫夢),16,429,6,26100,34,263
40,山崎まさゆき,118,225,11,14400,38,256
41,SGCN(淫夢),55,372,2,11600,33,255
42,うま味紳士,56,140,91,37500,39,255
43,一般通過爺,107,193,31,14900,43,249
44,AOK,82,272,16,7300,37,241
45,敏感ふとまら君,148,141,8,12900,83,239
46,まひろ(淫夢),56,186,1,87700,44,238
47,HND△,133,126,30,10300,49,236
48,超人サイバーZ,105,136,48,9070,41,230
49,バットマン(淫夢),115,145,15,26200,46,229
50,関西チャラ男,80,169,28,34800,40,227
51,ホモコップ,163,58,119,11100,56,222
52,ポイテーロ,61,152,18,63900,52,219
53,北浦京子,48,287,12,4520,35,208
54,我修院(淫夢),47,263,15,13300,45,207
55,SGW,127,56,31,9290,50,195
56,肉体派おじゃる丸,62,183,25,14200,,193
57,野獣父,108,120,9,13800,47,191
58,POPO,97,133,2,12100,53,178
59,軍畑先輩,61,142,19,13300,51,164
60,TKGW,48,171,13,12100,54,159
61,OGMM,53,168,9,9970,74,156
62,AZにゃん,57,101,33,11900,60,152
63,EMT(淫夢),85,97,3,11400,61,148
64,AKNM,124,38,1,2160,,146
65,NSOK,75,80,17,10200,57,142
66,肉丸,80,85,3,12600,,138
67,ラブオイル校長,73,109,1,7530,55,136
68,ホリ・トオル,68,82,12,10400,69,131
69,NRK,58,125,3,4620,63,128
70,一転攻勢(シャブラサレータ),71,100,5,1790,66,128
71,クチマン爺,25,161,12,6610,48,124
72,TKNUC,53,85,13,10700,59,119
73,まさよしくん,16,91,1,51800,78,114
74,OGRSYN,36,126,5,8490,64,112
75,タカダキミヒコ,41,113,6,8720,58,112
76,ポルターガイストくん,40,123,5,3870,67,110
77,観葉植物くん,33,84,27,8280,65,110
78,ひでのオリキャラ,25,53,51,1900,77,104
79,DRVS,52,57,12,9630,75,102
80,MNR,39,89,4,9810,79,97
81,植木鉢くん,59,45,5,3860,76,90
82,NT(ニッタ),10,73,42,1060,87,90
83,TRN,41,73,8,3550,70,89
84,タチ中年,62,32,6,4970,,89
85,MYN,50,48,7,3960,68,85
86,金泰均(COAT),26,87,10,5300,72,85
87,MMR部長,21,47,15,24800,81,84
88,ケツデカ課長,40,72,2,2990,98,81
89,関東チャラ男,35,78,1,2070,71,77
90,マスクド永谷園,33,67,3,5700,85,75
91,野獣母,21,97,0,3470,82,73
92,島田部長,51,36,1,1180,,71
93,ITI,33,57,2,7330,80,71
94,関東クレーマー,39,52,1,4160,,70
95,テロップくん,52,25,0,3940,88,68
