順位,名前,動画,BB,レス,pixiv,検索,前回,得点
1,野獣先輩,15328,2594,4469,3636,4510000,1,25709
2,KBTIT,2732,366,14871,951,878000,2,11997
3,ひで(淫夢),1351,206,3899,364,232000,3,3897
4,ゆうさく,2792,144,881,106,127000,6,3466
5,MUR,1966,352,1329,580,212000,4,3423
6,西寺郷太,1274,67,2765,30,87000,7,2774
7,淫夢くん,1209,103,1375,626,232000,8,2755
8,虐待おじさん,1224,160,1420,357,341000,9,2632
9,GO(淫夢),764,139,962,315,852000,10,2412
10,TDN,1233,53,1503,253,114000,5,2352
11,AKNM,1279,303,1698,23,73600,12,2225
12,KMR,1350,192,852,273,106000,11,2155
13,NKTIDKSG,1532,197,1042,45,51200,14,2149
14,現場監督,752,115,2300,70,49600,13,2022
15,ガバ穴ダディー,1198,99,952,123,39100,17,1836
16,ONDISK,501,29,2175,32,61600,15,1682
17,遠野(淫夢),925,194,813,238,63400,19,1633
18,マジメ君,1090,209,752,32,31300,16,1529
19,平野源五郎,685,69,1309,142,23000,22,1505
20,TNOK,831,70,487,287,54400,18,1416
21,うんち提案おじさん,183,16,2214,76,9860,20,1376
22,関西クレーマー,774,34,956,109,10200,23,1371
23,SNJ,989,58,331,110,26000,21,1291
24,ドラゴン田中,503,54,705,100,146000,26,1102
25,課長こわれる,555,26,836,71,25100,27,1069
26,淫乱テディベア,441,14,361,86,306000,25,1014
27,ピンキー姉貴,261,28,633,53,378000,24,1009
28,AKYS,416,77,847,63,95000,28,998
29,肉体派おじゃる丸,589,96,619,47,36800,31,982
30,バットマン(淫夢),812,38,181,23,32400,29,958
31,武田信玄(淫夢),602,24,551,13,21900,32,912
32,77歳の肛門モロ感の親爺,507,207,645,32,9390,36,871
33,オークション男,526,14,461,24,33100,35,814
34,YOU_THE_ROCK★,359,19,596,15,111000,34,783
35,INUEコーチ,33,6,1475,2,7360,33,780
36,じゅんぺい,212,22,987,23,26800,30,755
37,AOK,501,11,316,13,10700,40,683
38,KYN,289,29,557,78,20700,38,666
39,ハガー市長(淫夢),411,25,391,26,24400,39,657
40,大島薫,212,0,282,80,151000,46,584
41,KBSトリオ,247,16,434,105,12100,41,581
42,DB(淫夢),147,49,265,262,37600,37,579
43,ヒゲクマ調教師,163,37,589,44,11800,42,513
44,中野くん(淫夢),148,18,371,57,85000,44,476
45,第二のいなり男,311,24,190,43,13700,53,463
46,HTN,145,24,448,65,27500,45,462
47,TRSM,8,3,850,0,3210,47,436
48,剛竜馬,229,33,224,23,39900,48,404
49,一般通過爺,150,33,276,42,65000,51,395
50,HND△,229,15,193,47,8810,49,381
51,チョコボール向井,300,28,54,8,21000,66,356
52,クルルァ,167,22,176,60,31100,43,346
53,セミ兄貴,170,5,253,25,9050,52,331
54,我修院(淫夢),128,23,345,2,11400,55,314
55,ホモコップ,232,27,90,18,16300,56,311
56,激ハメ爺ちゃん,205,104,186,4,5780,59,308
57,閉廷おじさん,73,5,255,12,92900,73,305
58,ケツデカ課長,153,13,225,25,12000,60,303
59,KN(淫夢),232,18,126,2,4190,65,301
60,野獣邸,107,9,272,18,35400,68,296
61,テロップくん,228,40,86,17,8270,54,296
62,山崎まさゆき,123,4,278,11,13600,62,287
63,OOESNR,149,16,205,2,29100,86,283
64,関西チャラ男,115,27,220,34,21200,64,280
65,GTさん,217,7,92,12,3760,61,279
66,超人サイバーZ,132,23,166,54,8720,50,278
67,鈴木(淫夢),251,29,31,0,8230,83,275
68,肉丸,126,28,137,7,69400,87,271
69,OGMM,108,16,266,17,7040,69,265
70,たると(淫夢),15,1,492,1,1570,57,264
71,軍畑先輩,110,12,240,21,10900,58,262
72,NSOK,109,23,112,17,71600,89,254
73,敏感ふとまら君,114,13,251,10,3740,67,253
74,TKGW,112,14,227,20,6940,63,252
75,島田部長,174,19,130,8,5120,70,252
76,うま味紳士,65,2,163,83,15900,81,245
77,野獣父,131,10,145,12,27400,78,243
78,健介,204,5,5,2,31500,71,240
79,いなり男,150,21,40,50,17600,75,238
80,ポルターガイストくん,78,6,280,6,7740,80,232
81,北浦京子,54,4,322,12,3330,82,230
82,SGCN(淫夢),16,1,402,2,2670,77,222
83,まひろ(淫夢),103,9,226,1,2070,74,219
84,POPO,97,6,90,3,66600,72,212
85,SGW,132,12,62,32,14100,76,209
86,ホリ・トオル,113,14,119,21,13600,84,207
87,赤城武雄,125,4,21,67,4440,85,207
88,観葉植物くん,128,6,109,14,7120,93,204
89,糸引きおじさん,132,22,125,3,3890,88,201
90,関東チャラ男,107,43,157,9,5870,91,200
91,ポイテーロ,67,6,196,19,9430,90,193
92,だいちくん,150,14,52,1,7060,94,184
93,一転攻勢(シャブラサレータ),93,9,139,6,15300,92,184
94,植木鉢くん,138,5,62,5,9720,97,184
95,白いの(淫夢),74,24,140,0,36000,102,180
96,顔が変な人,63,30,196,6,11800,79,179
97,KMRスタッフ,166,3,6,0,4290,99,173
98,豪俊影視,108,4,35,42,5620,98,173
99,マスクド永谷園,55,8,102,6,49300,120,161
100,昭和天皇(淫夢),93,19,107,3,2220,109,152
101,コブラ三木谷,104,14,84,2,3470,104,151
102,クチマン爺,37,6,189,9,9750,101,150
103,DRVS,85,21,91,10,7640,100,148
104,NRK,49,1,159,6,12600,103,147
105,Discovery10で野獣に掘られたやつ(淫夢),73,15,146,0,1080,129,147
106,OGRSYN,48,2,157,3,14500,108,144
107,EMT(淫夢),83,4,115,1,1060,106,143
108,AZにゃん,73,11,113,8,3160,107,141
109,TKNUC,63,11,106,21,2810,105,140
110,関東クレーマー,81,6,100,2,5450,96,138
111,MNR,35,6,135,7,27200,116,137
112,タカダキミヒコ,52,8,137,7,6110,111,134
113,ホスト風兄貴,88,2,88,0,801,114,133
114,ひでのオリキャラ,39,5,64,59,2540,113,133
115,タチ中年,79,9,77,5,3330,110,126
116,OKDYSNR,111,21,17,1,4680,115,125
117,金泰均(COAT),46,7,123,12,3130,119,123
118,HRNR(淫夢),108,14,25,0,1100,138,122
119,DKSGNKTI,101,37,22,1,2330,124,115
120,竈門禰豆子(淫夢),50,5,113,5,2360,140,114
121,しみけん,7,0,15,5,93000,95,113
122,筆使いのさとし,96,5,17,2,4140,121,111
123,真崎航,23,1,22,39,36400,134,109
124,イニ義893,42,4,112,9,2000,122,109
125,SIY,87,32,16,8,4430,117,107
126,野獣母,37,5,127,2,2610,125,105
127,こぐま部長,60,15,53,0,12100,132,99
128,ラブオイル校長,23,3,125,1,11700,128,98
129,ITI,40,10,60,0,27600,118,98
130,SKBNK,61,14,66,0,2080,127,96
