順位,名前,動画,レス,pixiv,検索,得点,前回
1,KBTIT,16196,40761,1596,132000,38304,1
2,野獣先輩,21622,4659,4619,920000,29490,2
3,変態糞親父,4941,2932,324,34000,6765,
4,ひで(淫夢),2109,5473,400,98100,5344,3
5,MUR,2654,1496,840,410000,4652,4
6,KMR,1966,941,570,317000,3324,9
7,虐待おじさん,1687,1684,352,29000,2910,8
8,TDN,1534,1615,380,144000,2866,6
9,淫夢くん,1248,1400,569,212000,2729,7
10,ゆうさく,2091,918,143,10300,2703,10
11,NKTIDKSG,1947,1221,69,15000,2642,11
12,ガバ穴ダディー,1734,1327,142,12200,2552,13
13,現場監督,875,3014,63,16700,2462,12
14,AKNM,1378,1816,30,7930,2324,14
15,変態オナニー青年アキラ,1217,1963,25,9480,2233,56
16,平野源五郎,1104,1530,205,14500,2088,16
17,遠野(淫夢),1406,903,173,37000,2068,15
18,ONDISK,599,2339,36,10200,1815,17
19,関西クレーマー,1020,1030,115,102000,1752,19
20,マジメ君,1262,796,51,12400,1723,18
21,TNOK,928,549,301,120000,1624,22
22,GO(淫夢),911,1000,69,8430,1488,20
23,SNJ,1133,373,143,12800,1475,23
24,うんち提案おじさん,193,2362,80,4440,1458,21
25,AKYS,598,1206,68,52800,1322,29
26,肉体派おじゃる丸,791,779,57,9010,1247,26
27,課長こわれる,633,989,71,6040,1205,28
28,武田信玄(淫夢),805,659,30,6570,1171,31
29,バットマン(淫夢),1028,200,27,3610,1159,34
30,77歳の肛門モロ感の親爺,605,931,49,5170,1125,30
31,ドラゴン田中,571,802,101,8080,1081,32
32,じゅんぺい,296,1438,50,7650,1073,35
33,西寺郷太,870,171,59,4090,1019,5
34,オークション男,678,572,21,4430,989,33
35,蒼武蔵,738,61,81,6050,856,27
36,ピンキー姉貴,343,692,92,31900,813,25
37,島田部長,289,984,13,4590,799,37
38,INUEコーチ,34,1498,1,359,784,39
39,田所浩治(佐倉市),603,329,0,2640,770,
40,KYN,352,597,85,7720,743,40
41,淫乱テディベア,420,401,73,33600,727,36
42,YOU_THE_ROCK★,356,696,17,1710,723,24
43,ハガー市長(淫夢),479,410,27,2080,713,43
44,AOK,502,324,24,5420,693,41
45,KBSトリオ,320,477,120,7800,686,44
46,変態マゾチュウ,107,1093,7,9240,670,
47,ヒゲクマ調教師,269,644,42,3520,637,48
48,チョコボール向井,564,74,7,22000,630,38
