順位,名前,動画,BB,レス,pixiv,前回,得点
1,KBTIT,16443,2486,40585,1425,1(±0),28014
2,野獣先輩,21583,3415,4656,4819,2(±0),27566
3,ひで(淫夢),1721,207,5459,394,3(±0),3479
4,MUR,2383,373,1495,653,4(±0),3409
5,虐待おじさん,1677,178,1681,355,8(+3),2452
6,KMR,1870,222,937,339,9(+3),2443
7,西寺郷太,1496,69,2995,99,5(-2),2343
8,NKTIDKSG,1941,195,1215,72,11(+3),2316
9,ガバ穴ダディー,1732,126,1325,142,13(+4),2205
10,淫夢くん,1247,109,1400,599,7(-3),2196
11,遠野(淫夢),1610,220,901,278,15(+4),2113
12,ゆうさく,1604,105,915,109,10(-2),1941
13,AKNM,1378,306,1816,35,14(+1),1867
14,TDN,976,53,2244,242,6(-8),1779
15,変態オナニー青年アキラ,1263,298,1935,29,56(+41),1775
16,現場監督,713,111,3010,78,12(-4),1543
17,マジメ君,1260,224,796,51,18(+1),1510
18,SNJ,1133,84,570,217,23(+5),1492
19,TNOK,925,71,549,421,22(+3),1483
20,平野源五郎,882,78,1530,182,16(-4),1446
21,関西クレーマー,1018,31,1029,116,19(-2),1391
22,GO(淫夢),907,146,998,70,20(-2),1226
23,ONDISK,597,42,2339,39,17(-6),1220
24,バットマン(淫夢),1029,51,200,27,34(+10),1106
25,蒼武蔵,738,44,976,83,27(+2),1065
26,ピンキー姉貴,780,83,692,92,25(-1),1045
27,肉体派おじゃる丸,787,93,779,57,26(-1),1038
28,課長こわれる,693,29,987,71,28(±0),1010
29,武田信玄(淫夢),801,48,658,31,31(+2),996
30,AKYS,594,94,1206,99,29(-1),994
31,77歳の肛門モロ感の親爺,606,234,930,49,30(-1),887
32,ドラゴン田中,567,58,802,106,32(±0),873
33,うんち提案おじさん,193,17,2361,80,21(-12),863
34,オークション男,679,21,572,21,33(-1),843
35,じゅんぺい,290,30,1422,43,35(±0),688
36,ハガー市長(淫夢),479,27,410,27,43(+7),608
37,AOK,502,11,324,16,41(+4),599
38,淫乱テディベア,419,11,398,77,36(-2),595
39,チョコボール向井,563,45,74,7,38(-1),588
40,KYN,352,39,597,73,40(±0),574
41,KBSトリオ,321,21,477,120,44(+3),560
42,YOU_THE_ROCK★,362,22,696,18,24(-18),554
43,第二のいなり男,412,18,261,66,49(+6),543
44,鈴木(淫夢),508,39,41,0,51(+7),518
45,島田部長,237,31,982,14,37(-8),496
46,ヒゲクマ調教師,269,37,644,42,48(+2),472
47,INUEコーチ,34,2,1498,1,39(-8),409
48,HTN,196,28,483,57,53(+5),373
49,フリーザ(淫夢),275,10,262,1,133(+84),341
50,HND△,239,16,213,46,58(+8),338
51,野獣邸,147,17,624,33,52(+1),336
52,いなり男,230,19,93,79,61(+9),332
53,我修院(淫夢),217,24,422,1,57(+4),323
54,ホモコップ,279,26,106,12,65(+11),317
55,剛竜馬,227,27,243,26,42(-13),313
56,中野くん(淫夢),207,19,406,4,55(-1),312
57,ホリ・トオル,257,16,140,19,62(+5),311
58,セミ兄貴,194,8,277,30,50(-8),293
59,OOESNR,217,20,268,4,64(+5),288
60,激ハメ爺ちゃん,219,114,224,7,63(+3),282
61,DB(淫夢),206,57,289,3,47(-14),281
61,一般通過爺,166,25,317,36,60(-1),281
63,関西チャラ男,183,29,248,29,59(-4),274
64,関東チャラ男,174,68,198,47,68(+4),270
65,クルルァ,156,20,205,62,67(+2),269
66,KN(淫夢),224,16,142,2,72(+6),261
67,KMRスタッフ,254,5,10,0,88(+21),256
68,超人サイバーZ,152,20,179,57,73(+5),253
68,GTさん,213,8,95,17,83(+15),253
70,山崎まさゆき,157,7,315,12,69(-1),247
71,HRNR(淫夢),232,47,49,0,87(+16),244
72,ケツデカ課長,144,14,247,33,71(-1),238
73,テロップくん,197,39,89,19,89(+16),238
74,軍畑先輩,146,16,281,19,70(-4),235
75,手越祐也(淫夢),177,4,210,3,80(+5),232
76,こぐま部長,166,23,242,3,76(±0),229
77,赤城武雄,153,6,26,69,92(+15),228
78,TKGW,129,14,275,29,74(-4),226
79,TRSM,10,4,854,0,54(-25),223
80,観葉植物くん,120,7,116,73,82(+2),222
81,野獣父,153,12,153,14,90(+9),205
82,コブラ三木谷,158,20,124,14,108(+26),203
