順位,名前,動画,レス,pixiv,検索,得点,前回
1,KBTIT,16267,40729,1596,129000,38356,1
2,野獣先輩,21616,4659,4615,1080000,29640,2
3,変態糞親父,4940,2932,324,34300,6764,
4,ひで(淫夢),2108,5470,400,99500,5342,3
5,MUR,2654,1496,839,408000,4649,4
6,KMR,1966,940,570,315000,3321,9
7,ホモガキ,2055,2192,42,45400,3238,
8,虐待おじさん,1684,1684,352,29700,2908,8
9,TDN,1534,1614,380,143000,2864,6
10,淫夢くん,1248,1400,569,196000,2713,7
11,ゆうさく,2091,917,142,10300,2702,10
12,NKTIDKSG,1945,1218,70,14800,2639,11
13,ガバ穴ダディー,1734,1327,142,11900,2551,13
14,現場監督,874,3013,63,18100,2462,12
15,AKNM,1378,1816,30,6840,2323,14
16,変態オナニー青年アキラ,1296,1956,25,9250,2308,56
17,平野源五郎,1104,1530,205,15500,2090,16
18,遠野(淫夢),1405,903,173,37300,2067,15
19,ONDISK,599,2339,36,10400,1815,17
20,関西クレーマー,1019,1030,115,98900,1748,19
21,マジメ君,1262,796,51,12300,1723,18
22,TNOK,927,549,301,118000,1620,22
23,GO(淫夢),911,999,69,8410,1488,20
24,SNJ,1133,373,143,12900,1475,23
25,うんち提案おじさん,193,2361,80,4340,1458,21
26,AKYS,598,1206,68,51000,1320,29
27,肉体派おじゃる丸,790,779,57,8960,1245,26
28,課長こわれる,633,989,71,5790,1204,28
29,武田信玄(淫夢),805,658,30,7040,1171,31
30,バットマン(淫夢),1028,200,27,3740,1159,34
31,77歳の肛門モロ感の親爺,606,930,49,5400,1125,30
32,ドラゴン田中,571,802,101,7910,1081,32
33,じゅんぺい,296,1435,50,7580,1071,35
34,西寺郷太,869,171,59,4300,1018,
35,オークション男,678,572,21,4310,989,33
36,蒼武蔵,738,61,80,5550,854,27
37,ピンキー姉貴,343,692,92,27800,809,25
38,島田部長,289,983,13,5110,799,37
39,INUEコーチ,34,1498,1,298,784,39
40,田所浩治(佐倉市),602,328,0,2800,769,
41,KYN,352,597,85,7700,743,40
42,淫乱テディベア,420,401,73,33000,726,36
43,YOU_THE_ROCK★,356,696,17,1670,723,
44,変態マゾチュウ,159,1079,7,10400,716,
45,ハガー市長(淫夢),479,410,27,2410,713,43
46,AOK,502,324,24,5090,693,41
47,KBSトリオ,320,477,120,8420,687,44
48,ヒゲクマ調教師,269,644,42,3130,636,48
49,チョコボール向井,564,74,7,19900,628,38
50,第二のいなり男,414,261,65,4360,614,49
51,野獣邸,173,624,32,24300,541,52
52,鈴木(淫夢),508,41,0,2010,531,51
53,中野くん(淫夢),227,406,79,6750,516,55
54,HTN,197,483,61,12200,512,53
55,我修院(淫夢),226,422,30,10500,478,57
56,セミ兄貴,194,277,28,92600,453,50
57,フリーザ(淫夢),285,263,1,1850,419,133
58,HND△,237,214,46,3780,394,58
59,ケンジィ,389,0,0,67,389,484
60,剛竜馬,227,243,26,7310,382,42
61,DB(淫夢),208,290,17,8400,378,47
62,一般通過爺,167,317,36,4990,366,60
63,いんゆめ(淫夢),120,482,2,569,364,
64,OOESNR,217,268,4,2760,358,64
65,ホリ・トオル,257,140,19,4330,350,62
66,ホモコップ,280,106,12,3000,348,65
67,関西チャラ男,190,250,29,3160,347,59
68,TKGW,180,277,24,3690,346,74
69,激ハメ爺ちゃん,219,224,7,1610,340,63
70,山崎まさゆき,158,316,12,3140,331,69
71,関東チャラ男,174,198,46,3040,322,68
72,クルルァ,156,205,49,6720,314,67
73,軍畑先輩,146,282,19,3880,310,70
74,いなり男,231,93,20,7240,305,61
75,ケツデカ課長,144,247,33,4190,305,71
76,超人サイバーZ,152,179,56,3420,301,73
77,こぐま部長,166,242,3,8450,298,76
78,KN(淫夢),224,142,2,1380,298,72
79,手越祐也(淫夢),180,210,3,1190,289,80
80,たると(淫夢),27,513,2,496,286,77
81,SGW,137,67,109,4150,284,100
82,顔が変な人,88,256,5,59800,281,99
83,ポルターガイストくん,79,363,10,2930,273,79
84,OGMM,107,292,14,2690,270,81
85,敏感ふとまら君,104,300,11,2410,267,85
86,まひろ(淫夢),124,265,9,1550,267,86
87,GTさん,213,95,5,1190,267,83
88,閉廷おじさん,95,302,14,6160,266,78
89,ポイテーロ,103,242,37,4380,265,94
90,テロップくん,197,89,19,1980,262,89
91,大島薫,29,303,76,5280,262,45
92,KMRスタッフ,253,10,0,1720,260,88
93,HRNR(淫夢),233,50,0,642,259,87
94,肉丸,106,194,48,4560,256,103
95,野獣父,154,153,14,4540,249,90
96,SGCN(淫夢),35,426,0,227,248,93
97,うま味紳士,83,169,74,663,242,91
98,赤城武雄,153,26,69,1320,236,92
99,コブラ三木谷,158,124,13,2580,236,108
100,北浦京子,49,345,12,528,234,95
101,昭和天皇(淫夢),115,219,0,1970,226,98
102,万太郎,20,20,194,2380,226,321
103,Discovery10で野獣に掘られたやつ(淫夢),104,232,0,1050,221,102
104,観葉植物くん,120,116,40,2610,221,82
105,白豚,72,3,140,4020,218,273
106,POPO,107,193,9,4600,217,104
107,NRK,103,172,17,6100,212,123
108,健介,187,8,9,10500,210,105
109,糸引きおじさん,117,177,4,765,210,96
110,ア〇ルが変なっちゃった兄貴,131,153,1,538,209,121
111,NSOK,115,119,24,5500,204,109
112,だいちくん,163,64,5,3260,203,107
113,しみけん,148,18,10,35800,203,167
114,変態郵便屋,170,29,6,1690,192,106
115,つとむ,148,58,10,3360,190,162
116,植木鉢くん,149,67,6,1530,190,111
117,椅子くん,165,34,0,2310,184,101
118,一転攻勢(シャブラサレータ),95,150,6,3390,179,97
119,TKNUC,81,122,21,3210,166,115
120,DRVS,89,110,12,4210,160,113
121,豪俊影視,98,41,41,646,160,114
122,AZにゃん,72,141,17,632,160,116
123,マスクド永谷園,56,189,6,2080,159,129
124,クチマン爺,41,214,7,500,156,118
125,KBT,17,3,133,2120,154,350
126,白いの(淫夢),75,148,0,4410,153,117
127,OKDYSNR,136,18,5,1210,151,131
128,OGRSYN,55,185,1,1730,150,120
129,関東クレーマー,79,113,10,1210,147,124
130,EMT(淫夢),84,124,0,245,146,84
131,征矢,79,110,9,3170,146,139
132,ひでのオリキャラ,44,74,63,1170,145,127
133,NML姉貴,125,34,0,249,142,
134,タカダキミヒコ,63,151,1,1380,141,
135,筆使いのさとし,117,38,3,627,140,122
136,Toraemon,52,168,1,1280,138,137
137,佐野恵太,49,75,6,43300,136,150
138,SKGC,124,13,1,3910,135,130
139,ホスト風兄貴,89,90,0,378,134,125
140,タチ中年,69,120,4,1080,134,119
141,毎回屈辱ヒーローガンバマン,67,117,3,780,129,
142,MNR,41,138,15,3470,128,135
143,竈門禰豆子(淫夢),51,133,7,472,125,132
144,イニ義893,51,127,7,1010,123,138
145,金泰均(COAT),54,133,0,200,121,126
146,MYN,71,62,12,2460,116,156
147,還暦の巨根オヤジ,44,139,1,1330,116,147
148,しんたろう,64,22,39,818,115,231
149,淫夢厨(淫夢),7,207,1,3050,115,143
150,SIY,89,20,9,2870,111,141
151,ヘカーティア・ラピスラズリ(淫夢),71,74,2,498,110,146
152,強精コンビ,95,23,0,1450,108,149
153,慎悟,8,0,99,255,107,441
154,野獣母,35,139,1,1620,107,144
155,クラウド(淫夢),66,76,2,486,106,145
156,乳首モロ感真面目部長,29,146,1,1060,104,148
157,テラドン,65,71,2,1090,104,152
158,TRN,46,89,10,2630,103,155
159,SKBNK,65,75,0,447,103,151
160,イカせ隊,63,67,0,5630,102,140
161,短髪メガネ野郎(短髪モロ感野郎),46,107,0,199,100,142
162,ラブオイル校長,22,141,4,1780,98,154
163,バルカン大先輩,64,62,0,446,95,166
164,左慈半造,48,90,1,603,95,66
165,ZUN(淫夢),68,46,1,1090,93,153
166,南佳也,38,78,4,10600,92,46
167,4003勝の男,33,113,1,1040,92,158
168,大谷翔平(淫夢),18,138,0,3350,90,
169,大好き氏,14,146,1,2160,90,169
170,ITI,43,66,11,2670,90,170
171,ダーク食パンマン,51,60,4,1900,87,159
172,浣腸芸人,53,60,3,853,87,163
173,小森(ゴミ漁りの達人),76,15,2,330,86,161
174,ミスターマラ菊,79,13,0,226,86,164
175,島田兄弟,50,12,29,243,85,199
176,KBTIT_Jr,49,69,0,187,84,171
177,バイト君,20,2,28,33600,83,389
178,まさよしくん,21,112,3,2070,82,165
179,義臣,80,3,0,505,82,317
180,DKSGNKTI,64,25,1,335,78,157
181,テングザル兄貴,26,99,1,1240,78,185
182,ダンマー(淫夢),46,62,0,646,78,176
183,失礼インタビュアー,44,66,0,306,77,193
184,ウルフ(淫夢),66,22,0,291,77,173
185,ハンガリー舞曲兄貴,56,35,0,1110,75,175
186,偽MUR,62,21,1,665,74,177
187,真崎航,23,23,38,1450,74,75
188,豹変インタビュアー,37,72,0,507,74,
189,野獣大先輩,42,59,0,1900,73,174
190,修行兄貴,48,43,2,355,72,179
191,平野のどうぞという声にしか反応しない扉,16,110,0,119,71,168
192,綱太,44,49,2,471,71,180
193,中山幸一,50,33,3,1290,71,194
194,IWS,22,63,16,852,70,207
195,高校生君,66,6,0,444,69,178
196,AMFTTSFNDKTETNKTIBWMTKKKSJNSHF,8,122,0,248,69,271
197,NT(ニッタ),21,94,1,119,69,160
198,ゆうま(淫夢),48,31,5,320,69,192
199,ティーダ(淫夢),43,49,0,1090,69,172
200,森林原人,39,32,2,11000,68,110
201,初心者のM,50,21,5,2350,68,201
202,第三のいなり男,26,70,3,1150,65,191
203,ECZN,32,54,4,1980,65,188
204,ブルドックス,35,54,1,1700,65,187
205,MTSMAPNMRKNNSKKR,12,100,2,318,64,198
206,篤太郎さん,35,58,0,185,64,196
207,変面20でNKTIDKSGの後に出てくるやつ,46,33,1,523,64,195
208,MRKM,35,50,3,983,64,190
209,野獣兄,22,70,4,1760,63,183
210,新宿調教センター,33,44,0,4490,59,210
211,奈義(COAT),56,5,0,94,59,134
212,KEN(淫夢),26,55,4,135,58,189
213,迫真先生,49,8,4,630,58,181
214,ナイナイ岡村,33,30,8,1040,57,200
215,でこっぱち君,11,87,0,295,55,202
216,杰兄貴,41,26,0,212,54,206
217,野獣姉,11,79,2,850,53,204
218,バレーボールくん,42,20,1,307,53,209
219,フィスト大魔王,31,37,3,559,53,212
220,後ろの木みたいなやつ,37,31,0,230,53,220
221,バレー青年,50,4,0,193,52,252
222,カンパニー松尾,30,0,1,20700,52,
223,BROS.,26,4,1,22600,52,434
224,小柄メガネのウケ中年,26,50,0,201,51,213
225,星(淫夢),22,37,2,8560,51,226
226,魂魄妖夢(淫夢),37,15,3,1700,49,244
227,ジェフリー・ダーマー(淫夢),13,69,0,813,48,
228,MMR部長,14,67,0,185,48,216
229,DJ兄貴,47,1,0,51,48,492
230,アクメルくん,9,38,19,487,47,217
231,佐久間良雄,37,6,6,360,46,352
232,いまきた加藤,36,18,0,338,45,214
233,二千ドル男,33,12,6,312,45,205
234,ネス(淫夢),35,20,0,127,45,222
235,カダフィ大佐(淫夢),44,0,0,850,45,
236,悶絶先生,44,0,0,675,45,184
237,肉体派インタビュアー,28,32,0,599,45,211
238,しゃがれ声,22,43,0,691,44,249
239,樋口黎,6,76,0,145,44,197
240,宮永通世,31,17,3,1450,44,241
241,メガデス怪人,27,10,9,1860,43,232
242,えいた(淫夢),20,45,0,95,43,233
243,KJM,34,13,1,414,42,246
244,のび太(淫夢),16,50,0,164,41,136
245,ホモの兄ちゃん,9,57,0,3370,41,238
246,副市長,29,15,3,1250,41,247
247,松田陸,1,66,5,100,39,218
248,伸治,29,16,0,1770,39,254
249,野中玄太,34,2,3,408,38,467
250,野獣弟,18,40,0,397,38,182
251,INUE君,19,14,11,939,38,215
252,礼二,20,11,11,1290,38,279
253,だるま親爺,28,19,0,252,38,208
254,カズレーザー(淫夢),21,31,0,1020,38,253
255,アメリカン兄貴,31,9,1,1010,38,234
256,アナアサでタバコ落とした人,30,12,0,1450,37,
257,ダミ声スタッフ,32,10,0,383,37,256
258,TBS(淫夢),37,0,0,142,37,262
259,HMGC,32,9,0,390,37,250
260,おフェラ座の怪人,31,7,1,1160,37,228
261,INUE,31,2,2,2460,36,424
262,しあわせ紳士,23,26,0,178,36,248
263,OKD(淫夢),23,1,11,962,35,364
264,草薙ケン,30,0,5,293,35,227
265,嫉妬男,33,3,0,342,35,338
266,アキラ(淫夢),30,9,0,294,35,265
267,ポイズン菊池,21,19,4,285,35,245
268,横井警備員,26,15,0,757,34,240
269,アーウェイ,26,6,5,88,34,412
270,ゴーグル男,21,25,0,210,34,224
271,こう(淫夢),23,16,2,300,33,259
272,ASH(淫夢),33,0,0,152,33,263
273,佐々木主任,4,0,29,111,33,485
274,孫悟空(淫夢),6,51,1,268,33,
275,エレファントドアくん,25,15,0,125,33,266
276,ホワイトマン,19,8,8,482,31,355
277,TTY,26,4,2,1400,31,305
278,池沼兄貴,16,28,0,533,31,288
279,由利(淫夢),14,32,0,73,30,235
280,木村和輝,28,1,1,129,30,219
281,SUT(淫夢),20,19,0,97,30,268
282,変態親父,7,7,3,15000,28,426
283,ISHR先生,21,12,1,499,28,275
284,ついに発掘された男,13,30,0,244,28,221
285,IGRS,27,1,0,293,28,283
286,インラン親爺,12,30,0,781,28,277
287,貴乃信,22,10,0,270,27,278
288,KMR(野獣大先輩),16,22,0,202,27,287
289,NITU,16,18,1,846,27,300
290,東郷健,23,5,1,208,27,
291,ガン掘リア宮殿,19,13,0,1100,27,293
292,ドチンピラ,17,18,0,394,26,294
293,やりマン兄貴,21,10,0,149,26,261
294,スティーブ・ジョブズ(淫夢),15,22,0,140,26,270
295,赤豚,16,4,6,1930,26,298
296,りゅうくん,16,8,4,1650,26,281
297,茶髪チャラ男(AKNM),22,5,1,73,26,290
298,江島隼人,23,3,0,841,25,329
299,OZW,17,10,2,845,25,267
300,KMD,15,2,8,574,25,433
301,NOBUMASA(淫夢),22,5,0,46,25,291
302,熊太郎,22,0,2,201,24,
303,ピカチュウパンツ兄貴,12,21,1,306,24,239
304,18番(淫夢),19,9,0,95,24,302
305,ゴーグル先生,17,5,2,1790,23,237
306,院長(Fatherless),13,18,0,1210,23,340
307,ズ・ゴオマ・グ(淫夢),14,16,1,51,23,342
308,野獣従兄弟,20,4,0,800,23,264
309,爆弾岩くん,10,25,0,115,23,301
310,優人(WEST),21,3,0,47,23,243
311,レイザー(レスリングシリーズ),18,9,0,31,23,229
312,イケボスタッフ,20,1,1,577,22,299
313,バイトの人,1,3,0,19400,22,508
314,権藤剛,11,3,9,146,22,375
315,MRKMR,17,9,0,114,22,324
316,ユウ君,11,0,10,474,21,545
317,SNJ弟,14,10,2,332,21,308
318,仁(ALMAZ),21,0,0,45,21,269
319,NKI,17,7,0,394,21,318
320,ゴロリ(淫夢),15,11,0,284,21,360
321,HRS,8,0,4,8690,21,
322,身体大気弱兄,17,7,0,143,21,319
323,拷問親父,19,3,0,124,21,257
324,文吾,10,12,3,1600,21,341
325,YMSK,20,0,0,311,20,225
326,YUIC,18,4,0,219,20,333
327,ボンバーライオンさん,15,10,0,180,20,292
328,修復後のキリスト,7,24,1,145,20,325
329,二軍淫夢のエース,12,15,0,197,20,313
330,TMBK,18,3,0,177,20,276
331,座敷童子(淫夢),14,11,0,74,20,304
332,顔が変な人のついでに発掘された人,4,30,0,42,19,272
333,星の仲間,2,10,0,12000,19,346
334,コネスケ,16,3,1,348,19,
335,ホモビ戦士,6,25,0,311,19,296
336,フィンランドハーフ兄貴,15,7,0,201,19,323
337,タカシィ,18,1,0,138,19,314
338,AIZW,18,1,0,36,19,473
339,TMNG,4,27,0,870,18,307
340,i-modeタクヤ君,17,2,0,219,18,282
341,モザイク姉貴,9,16,1,205,18,303
342,SYK姉貴,9,17,0,577,18,344
343,ワッキー(精子舐めがいやらしい),6,24,0,25,18,327
344,小雪(淫夢),9,17,0,282,18,311
345,スカイフィッシュくん,9,7,5,279,18,258
346,真・肉体派食パンマン,3,29,0,239,18,
347,ソーナノ(淫夢),11,13,0,156,18,348
348,玉木修,16,3,0,111,18,330
349,櫻井翔(淫夢),14,7,0,76,18,260
350,豊田力,16,3,0,61,18,359
351,NT兄,15,2,1,224,17,315
352,ルイージ(淫夢),16,2,0,214,17,357
353,灼熱君,5,2,11,173,17,384
354,ART(淫夢),11,12,0,119,17,335
355,TKUC,16,1,0,378,17,347
356,NKTIDDKSG,9,15,0,364,17,367
357,外伝君,14,3,1,237,17,365
358,食パンマン(淫夢),13,5,1,205,17,
359,ハヤト先輩,12,7,1,136,17,339
360,中田(淫夢),13,7,0,135,17,378
361,ウェスカー(淫夢),15,3,0,131,17,334
362,ノブアキ(トランペッター),12,9,0,68,17,328
363,すごい高くて日本じゃ手に入らないバラ,9,14,0,446,16,236
364,斉藤ゆたか,15,2,0,421,16,
365,カズヤ(淫夢),13,6,0,157,16,289
366,日本男児兄貴,10,11,0,327,16,401
367,しょうこちゃん,5,10,5,609,16,297
368,神野大二郎,14,3,0,30,16,
369,鈴木実,13,4,0,350,15,388
370,MRSK,14,0,1,160,15,510
371,マジメ君のライバル(SP),14,2,0,55,15,354
372,櫂(ALMAZ),14,0,1,41,15,316
373,臨死体験親父,5,19,0,57,15,
374,近藤靖浩,13,2,0,280,14,393
375,偽軍畑先輩,13,2,0,214,14,377
376,モルダー(淫夢),13,2,0,158,14,362
377,極道兄貴,8,12,0,124,14,332
378,堀川雷鼓(淫夢),11,6,0,89,14,371
379,OSD,10,7,0,554,14,458
380,TDN弟,9,7,1,142,14,369
381,体育教師(淫夢),12,3,0,106,14,255
382,MASARU(B+B),10,5,0,1070,14,
383,山本竜二,12,2,0,397,13,112
384,久保帯人(淫夢),7,12,0,129,13,343
385,ヒデ(筋肉黄金期),12,2,0,49,13,351
386,OKB君,9,8,0,38,13,382
387,蟲戦士ヘルワーム,3,17,1,329,13,379
388,無らい,10,3,1,319,13,370
389,OOHT,11,3,0,212,13,373
390,GONTA,9,6,0,654,13,366
391,スタッフ中井,10,4,0,318,12,356
392,山本ルーカス,11,2,0,208,12,409
393,極道熊,9,4,1,122,12,286
394,田中(迫真先生),12,0,0,109,12,407
395,チンコに名前を付ける男,10,4,0,100,12,
396,近藤P,10,4,0,96,12,322
397,ピエール瀧(淫夢),9,6,0,68,12,395
398,TNKDISK,11,2,0,27,12,396
399,オナニー男,3,4,3,3980,12,455
400,ピポサルくん,9,5,0,272,12,391
401,川崎京一,11,1,0,101,12,284
402,ウルトラ巨根課長,4,15,0,70,12,326
403,KGR,10,0,1,569,12,497
404,K2兄貴,10,3,0,61,12,372
405,渉(淫夢),10,3,0,58,12,295
406,小籔千豊(淫夢),9,5,0,48,12,406
407,純情スーツ兄貴,6,10,0,416,11,399
408,ネアンデルタール,2,11,3,905,11,442
409,北関東チャラ男,8,6,0,249,11,385
410,焦げた食パンマン,8,3,1,602,11,
411,SRIKNZU(鎮念),8,6,0,75,11,398
412,リアクション芸人(淫夢),6,8,1,72,11,
413,源氏パイ(淫夢),6,10,0,62,11,280
414,DRVS弟,9,3,0,236,11,400
415,TRSM,10,0,0,697,11,54
416,たるとのオリキャラ,4,13,0,136,11,203
417,メガデス戦闘員,5,2,4,612,11,374
418,優雅(淫夢),8,5,0,55,11,331
419,藤井聡太(淫夢),3,15,0,37,11,310
420,gejir@,8,1,0,2020,11,430
421,商店主,5,6,2,383,10,242
422,クインテットアキラ,8,4,0,368,10,411
423,TKZW,10,0,0,172,10,423
424,PG66でNKTIDKSGの後に出てくるやつ,5,10,0,165,10,408
425,本格的にドラえもんに見捨てられたのび太,1,18,0,110,10,
426,モーモーパンツ兄貴,7,6,0,81,10,414
